	artist	song
61952	Kelly Clarkson	Already Gone
61954	Kings Of Leon	Use Somebody
61955	Drake Featuring Kanye West, Lil Wayne & Eminem	Forever
61958	The Black Eyed Peas	Meet Me Halfway
61959	Lady Gaga	Paparazzi
61987	Toby Keith	Cryin' For Me (Wayman's Song)
61992	Miranda Lambert	White Liar
61995	General Larry Platt	Pants On The Ground
62001	Snoop Dogg Featuring The-Dream	Gangsta Luv
62006	Creed	Rain
62007	Kellie Pickler	Didn't You Know How Much I Loved You
62059	Miley Cyrus	Party In The U.S.A.
62067	Christopher Wilde	Hero
62071	k.d. lang	Hallelujah (Vancouver Winter 2010 Version)
62082	Britney Spears	3
62083	Birdman Featuring Lil Wayne & Drake	Money To Blow
62087	Christopher Wilde	StarStruck
62091	Christopher Wilde & Anna Margaret	Something About The Sunshine  
62108	Tim McGraw	Southern Voice
62109	Nickelback	Never Gonna Be Alone
62110	Mariah Carey Featuring Nicki Minaj	Up Out My Face
62197	Dierks Bentley	I Wanna Make You Close Your Eyes
62199	Chris Brown Featuring Lil Wayne & Swizz Beatz	I Can Transform Ya
62206	Gucci Mane Featuring Usher	Spotlight
62208	Dave Matthews Band	You And Me
62210	Snow Patrol Featuring Martha Wainwright	Set The Fire To The Third Bar
62256	Cascada	Evacuate The Dancefloor
62260	Beyonce	Sweet Dreams
62285	Mary J. Blige & Andrea Bocelli	Bridge Over Troubled Water    
62286	Lil Wayne Featuring Gudda	F**k Today
62296	Justin Timberlake & Matt Morris Featuring Charlie Sexton	Hallelujah
62298	Nick Jonas & The Administration	Who I Am
62301	Lil Wayne Featuring Shanell AKA SNL	American Star
62304	Reba	Consider Me Gone
62307	Shiny Toy Guns	Major Tom
62355	Colbie Caillat	Fallin' For You
62357	Sheryl Crow, Kid Rock & Keith Urban	Lean On Me
62371	Carrie Underwood	Cowboy Casanova
62382	Taylor Swift	Breathless
62395	Jay-Z, Bono, The Edge & Rihanna	Stranded (Haiti Mon Amour)
62401	Justin Bieber	One Less Lonely Girl
62402	Eddie Vedder	My City Of Ruins (Live From The Kennedy Center Honors)
62404	Jake Owen	Eight Second Ride
62407	Usher	Papers
62408	Jennifer Hudson Featuring The Roots	Let It Be
62409	Jason Michael Carroll	Hurry Home
62450	Taylor Swift	Fifteen
62483	Muse	Uprising
62491	Rihanna	Redemption Song
62505	Three Days Grace	Break
62506	Chris Brown	Crawl
62508	50 Cent Featuring Ne-Yo	Baby By Me
62509	Shakira Featuring Lil Wayne	Give It Up To Me
62510	Rihanna	Russian Roulette
62582	Lady Antebellum	Ready To Love Again
62584	Luke Bryan	Do I
62603	Breaking Benjamin	I Will Not Bow
62607	Cobra Starship	Hot Mess
62652	Justin Bieber	One Time
62692	David Nail	Red Light
62703	Lady Antebellum	Love This Pain
62706	Drake Featuring Lil Wayne & Young Jeezy	I'm Going In
62707	Gucci Mane Featuring Plies Or OJ Da Juiceman	Wasted
62708	Jesse McCartney Featuring T-Pain	Body Language
62709	Maxwell	Bad Habits
62744	Jay-Z, Rihanna & Kanye West	Run This Town
62793	P!nk	Funhouse
62796	Ester Dean Featuring Chris Brown	Drop It Low
62804	Chris Young	Gettin' You Home
62810	Weezer	(If You're Wondering If I Want You To) I Want You To
62892	Eminem	Music Box
62896	Justin Bieber	Love Me
62902	Selena Gomez & The Scene	Falling Down
62905	Craig Morgan	Bonfire
62908	Beyonce Featuring Lady Gaga	Video Phone
62910	Thirty Seconds To Mars	Kings And Queens
62939	Eminem Featuring Dr. Dre	Hell Breaks Loose
62965	Alicia Keys	Empire State Of Mind (Part II) Broken Down
62977	Eminem	Elevator
62994	Lil Wayne	On Fire
63008	Omarion Featuring Gucci Mane	I Get It In
63061	Glee Cast	My Life Would Suck Without You
63063	Glee Cast	Don't Rain On My Parade
63081	Glee Cast	You Can't Always Get What You Want
63082	Thirty Seconds To Mars	This Is War
63098	Chris Brown Featuring Plies	What I Do
63099	Glee Cast	Last Christmas
63104	Glee Cast	And I Am Telling You I'm Not Going
63110	George Strait	Twang
63165	Zac Brown Band	Toes
63170	Michael Franti & Spearhead Featuring Cherine Anderson	Say Hey (I Love You)
63171	Timbaland Featuring Nelly Furtado & SoShy	Morning After Dark
63179	Kenny Chesney With Dave Matthews	I'm Alive
63189	Leona Lewis	Happy
63198	Jeremih	Imma Star (Everywhere We Are)
63201	John Mayer	Who Says
63203	Foo Fighters	Wheels
63205	Trace Adkins	All I Ask For Anymore
63209	LeToya Featuring Ludacris	Regret
63251	Shakira	She Wolf
63260	Mariah Carey	Obsessed
63271	Adam Lambert	For Your Entertainment
63272	Susan Boyle	I Dreamed A Dream
63276	Glee Cast	True Colors
63277	Glee Cast	Imagine
63304	Lady Gaga	Speechless
63305	Francesca Battistelli	It's Your Life
63306	Alicia Keys	Doesn't Mean Anything
63307	Bon Jovi	We Weren't Born To Follow
63308	Susan Boyle	Wild Horses
63356	Mario Featuring Gucci Mane & Sean Garrett	Break Up
63357	Pitbull	Hotel Room Service
63360	Glee Cast	Lean On Me
63374	Glee Cast	Don't Stand So Close To Me / Young Girl
63383	Glee Cast	I'll Stand By You
63384	Glee Cast	Defying Gravity
63388	Glee Cast	Endless Love
63389	Justin Bieber	Down To Earth
63394	Yo Gotti	5 Star
63395	Keith Urban	Only You Can Love Me This Way
63397	Brad Paisley	Welcome To The Future
63404	Justin Bieber	Bigger
63407	50 Cent	The Invitation
63409	Justin Bieber Featuring Usher	First Dance
63455	Boys Like Girls	Love Drunk
63457	Cobra Starship Featuring Leighton Meester	Good Girls Go Bad
63483	Justin Bieber	Favorite Girl
63495	Drake Featuring Trey Songz & Lil Wayne	Successful
63498	Anya Marina	Whatever You Like
63500	"Mary Mary Featuring Kierra ""KiKi"" Sheard"	God In Me
63501	Taylor Swift	Jump Then Fall
63506	Toby Keith	American Ride
63510	Timbaland Featuring The Fray & Esthero	Undertow
63554	Fabolous Featuring The-Dream	Throw It In The Bag
63570	Green Day	21 Guns
63579	Taylor Swift	Untouchable
63592	3OH!3 Featuring Katy Perry	Starstrukk
63594	R. Kelly Featuring Keri Hilson	Number One
63596	Sean Kingston	Face Drop
63599	Cage The Elephant	Ain't No Rest For The Wicked
63604	Taylor Swift	The Other Side Of The Door
63608	Love And Theft	Runaway
63610	Taylor Swift	Forever & Always
63636	Taylor Swift	Superstar
63640	Taylor Swift	Come In With The Rain
63695	Flo Rida Featuring Ne-Yo	Be On You
63698	LMFAO	La La La
63701	Pleasure P	Under
63704	Chamillionaire	Good Morning
63710	New Boyz	You're A Jerk
63744	Glee Cast	Sweet Caroline
63753	Pitbull	I Know You Want Me (Calle Ocho)
63755	The Black Eyed Peas	Boom Boom Pow
63757	Keri Hilson Featuring Kanye West & Ne-Yo	Knock You Down
63759	Jason Aldean	Big Green Tractor
63760	Adam Lambert	Time For Miracles
63761	The Fray	Never Say Never
63790	T-Pain	Take Your Shirt Off
63795	Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em	LOL :-)
63803	Glee Cast	Bust A Move
63806	Brooks & Dunn Featuring Billy Gibbons	Honky Tonk Stomp
63807	Mariah Carey	I Want To Know What Love Is
63851	Drake	Best I Ever Had
63859	Daughtry	No Surprise
63866	Glee Cast	Keep Holding On
63875	Glee Cast	No Air
63878	Justin Moore	Small Town USA
63881	Glee Cast	It's My Life / Confessions Part II
63886	Wonder Girls	Nobody
63893	Five For Fighting	Chances
63894	Glee Cast	Halo / Walking On Sunshine
63903	T.I.	Hell Of A Life
63909	Kings Of Leon	Notion
63954	Jordin Sparks	Battlefield
63960	P!nk	Please Don't Leave Me
63970	Dorrough	Ice Cream Paint Job
63995	Eric Church	Love Your Love The Most
64002	Darryl Worley	Sounds Like Life To Me
64003	Pearl Jam	The Fixer
64006	LMFAO	I'm In Miami Trick
64009	Alice In Chains	Check My Brain
64057	Katy Perry	Waking Up In Vegas
64060	Maxwell	Pretty Wings
64061	Glee Cast Featuring Kristin Chenoweth	Alone
64071	Rob Thomas	Her Diamonds
64073	Linkin Park	New Divide
64088	Paramore	Careful
64098	Glee Cast Featuring Kristin Chenoweth	Maybe This Time
64103	George Strait	Living For The Night
64105	Blake Shelton	I'll Just Hold On
64107	Randy Houser	Boots On
64109	Keyshia Cole Duet With Monica	Trust
64148	Sean Kingston	Fire Burning
64158	Jason Mraz	I'm Yours
64181	Glee Cast	Taking Chances
64186	Darius Rucker	Alright
64196	Beyonce	Ego
64200	Mary J. Blige Featuring Drake	The One
64202	The All-American Rejects	I Wanna
64209	Rascal Flatts	Summer Nights
64253	Lady Gaga	Poker Face
64289	Young Money	Every Girl
64293	Whitney Houston	I Look To You
64303	Kid Cudi Featuring Kanye West & Common	Make Her Say
64307	David Cook	Come Back To Me
64308	Ginuwine	Last Chance
64310	Mat Kearney	Closer To Love
64352	Lady Gaga	LoveGame
64355	Miley Cyrus	The Climb
64356	Glee Cast	Take A Bow
64373	Billy Currington	People Are Crazy
64392	Jack Ingram	Barefoot And Crazy
64393	Disney's Friends For Change	Send It On
64399	Parachute	She Is Love
64405	Three 6 Mafia Featuring Kalenna	Shake My
64408	Twista Featuring Erika Shevon	Wetter (Calling You Daddy)
64409	Sugarland	Joey
64410	Tim McGraw	It's A Business Doing Pleasure With You
64458	Shinedown	Second Chance
64503	Gloriana	Wild At Heart
64506	Trey Songz	I Need A Girl
64510	Whitney Houston	Million Dollar Bill
64578	Theory Of A Deadman	Not Meant To Be
64580	Sean Paul	So Fine
64583	Creed	Overcome
64601	Selena Gomez	Magic
64602	Kenny Chesney	Out Last Night
64607	Britney Spears	Radar
64609	Wale Featuring Lady Gaga	Chillin
64610	Skillet	Awake And Alive
64649	Jeremih	Birthday Sex
64654	Beyonce	Halo
64658	3OH!3	Don't Trust Me
64676	Jessie James	Wanted
64691	Kellie Pickler	Best Days Of Your Life
64695	Flo Rida Featuring Nelly Furtado	Jump
64699	Demi Lovato	Here We Go Again
64703	The Pussycat Dolls Featuring Nicole Scherzinger	Hush Hush
64704	Shinedown	Sound Of Madness
64710	David Guetta Featuring Kelly Rowland	When Love Takes Over
64755	Nickelback	If Today Was Your Last Day
64756	The Fray	You Found Me
64759	Taylor Swift	Love Story
64791	Dierks Bentley	Sideways
64804	Kelly Clarkson	I Do Not Hook Up
64807	Matt And Kim	Daylight
64809	Carolina Liar	Show Me What I'm Looking For
64858	The Ting Tings	That's Not My Name
64859	Lady Antebellum	I Run To You
64881	Madonna	Celebration
64889	Kristinia DeBarge	Goodbye
64902	Jamie Foxx Featuring Drake, Kanye West + The-Dream	Digital Girl
64904	T.I. Featuring Mary J. Blige	Remember Me
64906	Hannah Montana	He Could Be The One
64907	JAY-Z	D.O.A. (Death Of Auto-Tune)
64971	Brad Paisley	Then
64993	Birdman Featuring Lil Wayne	Always Strapped
65003	Michelle Branch	Sooner Or Later
65007	Martina McBride	I Just Call You Mine
65053	Flo Rida	Right Round
65055	Zac Brown Band	Whatever It Is
65081	Keith Urban	Kiss A Girl
65094	Reba	Strange
65098	Green Day	Know Your Enemy
65099	Demi Lovato	Catch Me
65101	The-Dream Featuring Kanye West	Walkin' On The Moon
65103	Beastie Boys Featuring Nas	Too Many Rappers
65104	Eminem	Beautiful
65153	Kid Cudi	Day 'N' Nite
65155	Jamie Foxx Featuring T-Pain	Blame It
65160	The All-American Rejects	Gives You Hell
65179	Soulja Boy Tell'em	Turn My Swag On
65190	OneRepublic With Sara Bareilles	Come Home
65200	Flo Rida Featuring Wynter	Sugar
65202	Jason Mraz	If It Kills Me
65203	Sugarland	It Happens
65204	Pleasure P	Boyfriend #2
65205	Daughtry	You Don't Belong
65207	F.L.Y. (Fast Life Yungstaz)	Swag Surfin'
65258	Lady Gaga Featuring Colby O'Donis	Just Dance
65268	Maino Featuring T-Pain	All The Above
65277	Paramore	Ignorance
65284	Hannah Montana Featuring David Archuleta	I Wanna Know You
65297	Hannah Montana	Ice Cream Freeze (Let's Chill)
65303	Lupe Fiasco Featuring Matthew Santos	Shining Down
65392	Selena Gomez & Demi Lovato	One And The Same
65395	Toby Keith	Lost You Anyway
65398	Jonas Brothers	Paranoid
65403	Alan Jackson	Sissy's Song
65404	Hurricane Chris Featuring SupaSTAAR	Halle Berry (She's Fine)
65405	Seether	Careless Whisper
65406	Rodney Atkins	It's America
65409	Montgomery Gentry	One In Every Crowd
65454	Kelly Clarkson	My Life Would Suck Without You
65460	Soulja Boy Tell 'em Featuring Sammie	Kiss Me Thru The Phone
65474	Britney Spears	If U Seek Amy
65488	The Lonely Island Featuring T-Pain	I'm On A Boat
65491	The Veronicas	Take Me On The Floor
65502	Dave Matthews Band	Funny The Way It Is
65507	Gorilla Zoe	Echo
65560	T.I. Featuring Justin Timberlake	Dead And Gone
65577	All Time Low	Damned If I Do Ya (Damned If I Don't)
65593	Jonas Brothers	Fly With Me
65595	Eminem	We Made You
65603	Jesse McCartney Featuring Ludacris	How Do You Sleep?
65604	Madcon	Beggin'
65607	Jason Michael Carroll	Where I'm From
65682	Kevin Rudolf Featuring Rick Ross	Welcome To The World
65692	Mitchel Musso	Hey
65694	Musiq Soulchild	sobeautiful
65701	Rascal Flatts	Here Comes Goodbye
65706	K'Jon	On The Ocean
65710	Carrie Underwood Featuring Randy Travis	I Told You So
65757	Plain White T's	1, 2, 3, 4
65788	Kris Allen	No Boundaries
65794	Kris Allen	Heartless
65800	Asher Roth	I Love College
65806	Miley Cyrus	Hoedown Throwdown
65807	Yung L.A. Featuring Young Dro & T.I.	Ain't I
65810	Adam Lambert	Mad World
65859	Jason Aldean	She's Country
65861	Kanye West	Heartless
65882	David Cook	Permanent
65896	Kanye West Featuring Young Jeezy	Amazing
65899	Eli Young Band	Always The Love Songs
65904	Kris Allen	Ain't No Sunshine
65905	Adam Lambert	No Boundaries
65907	Jennifer Hudson	If This Isn't Love
65908	Ciara Featuring Justin Timberlake	Love Sex Magic
65909	Ciara Featuring Young Jeezy	Never Ever
65954	Charice	Note To God
65966	Adam Lambert	A Change Is Gonna Come
65976	Kris Allen	Apologize
65981	Jason Mraz & Colbie Caillat	Lucky
65989	Carrie Underwood	Home Sweet Home
65992	Adam Lambert	One
65995	Eminem	Insane
66004	Kris Allen	Falling Slowly
66008	Glee Cast	Rehab
66054	Keri Hilson Featuring Lil Wayne	Turnin Me On
66055	P!nk	Sober
66060	Ne-Yo	Mad
66089	The Fray	Heartless
66096	Rick Ross Featuring John Legend	Magnificent
66098	Darius Rucker	It Won't Be Like This For Long
66100	Taylor Swift	Crazier
66103	Eminem Featuring Dr. Dre	Old Time's Sake
66107	Paula Abdul	I'm Just Here For The Music
66108	A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger	Jai Ho! (You Are My Destiny)
66109	Chrisette Michele	Epiphany (I'm Leaving)
66156	The-Dream	Rockin' That Thang
66187	GS Boyz	Stanky Legg
66195	Bow Wow Featuring Johnta Austin	You Can Get It All
66196	Eminem, Dr. Dre & 50 Cent	Crack A Bottle
66205	Jake Owen	Don't Think I Can't Love You
66207	Demi Lovato	Don't Forget
66208	Mike Jones	Next To You
66210	Charlie Wilson	There Goes My Baby
66242	Eminem	3am
66250	Akon Featuring Colby O'Donis & Kardinal Offishall	Beautiful
66258	Britney Spears	Circus
66288	Fall Out Boy	America's Suitehearts
66306	Lily Allen	The Fear
66309	Beyonce	Diva
66310	Natasha Bedingfield	Soulmate
66355	Kevin Rudolf Featuring Lil Wayne	Let It Rock
66358	Coldplay	Viva La Vida
66360	Katy Perry	Hot N Cold
66391	The White Tie Affair	Candle (Sick And Tired)
66396	Miley Cyrus & Billy Ray Cyrus	Butterfly Fly Away
66400	Tim McGraw	Nothin' To Die For
66402	Rick Ross Featuring Kanye West, T-Pain & Lil' Wayne	Maybach Music 2
66403	DAY26 Featuring P. Diddy & Yung Joc	Imma Put It On Her
66404	Ne-Yo Featuring Jamie Foxx & Fabolous	She Got Her Own
66405	Asher Roth	Lark On My Go-Kart
66407	Katy Perry	Thinking Of You
66410	George Strait	River Of Love
66460	Beyonce	Single Ladies (Put A Ring On It)
66490	Hannah Montana	Let's Get Crazy
66491	Hannah Montana	You'll Always Find Your Way Back Home
66497	John Rich	Shuttin' Detroit Down
66501	Mims	Move (If You 'W'anna)
66502	Silversun Pickups	Panic Switch
66508	Martina McBride	Ride
66509	Ashley Tisdale	It's Alright, It's OK
66554	Taylor Swift	White Horse
66561	The Pussycat Dolls	I Hate This Part
66591	The Veronicas	Untouched
66603	Keyshia Cole	You Complete Me
66604	Lil Wayne Featuring Shanell AKA SNL	Prom Queen
66606	MGMT	Kids
66607	The-Dream Featuring Mariah Carey	My Love
66608	Trace Adkins	Marry For Money
66609	Jamie Foxx Featuring T.I.	Just Like Me
66658	T.I. Featuring Rihanna	Live Your Life
66660	Nickelback	Gotta Be Somebody
66689	Toby Keith	God Love Her
66695	Rascal Flatts	Things That Matter
66698	Papa Roach	Lifeline
66702	Lil Wayne	Hot Revolver
66708	Kenny Chesney With Mac McAnally	Down The Road
66769	Rascal Flatts	Love Who You Love
66772	Keith Urban	Sweet Thing
66787	Brooks & Dunn Featuring Reba McEntire	Cowgirls Don't Cry
66806	Jazmine Sullivan	Lions, Tigers & Bears
66859	P!nk	So What
66863	Rascal Flatts	Forever
66890	Bobby V Featuring Yung Joc	Beep
66905	Taylor Swift	You're Not Sorry
66906	Gorilla Zoe	Lost
66993	Lee Ann Womack	Last Call
67000	Thriving Ivory	Angels On The Moon
67001	Framing Hanley	Lollipop
67003	T-Pain Featuring Chris Brown	Freeze
67006	Plies Featuring Ashanti	Want It, Need It
67050	T.I.	Whatever You Like
67055	Britney Spears	Womanizer
67060	Zac Brown Band	Chicken Fried
67068	Kings Of Leon	Sex On Fire
67078	Blake Shelton	She Wouldn't Be Gone
67089	U2	Magnificent
67090	Leona Lewis	I Will Be
67096	Billy Currington	Don't
67102	Alan Jackson	Country Boy
67110	Miranda Lambert	More Like Her
67149	John Legend Featuring Andre 3000	Green Light
67155	Rihanna	Disturbia
67157	Brooke White	Hold Up My Heart
67159	Ne-Yo	Miss Independent
67160	Dierks Bentley	Feel That Fire
67167	Flo Rida Featuring Pleasure P	Shone
67170	Jim Jones & Ron Browz Featuring Juelz Santana	Pop Champagne
67181	Jonas Brothers	Tonight
67185	Akon Featuring Lil Wayne & Young Jeezy	I'm So Paid
67194	Jonas Brothers	Love Is On Its Way
67197	Ludacris Co-Starring T-Pain	One More Drink
67203	M.I.A. & A R Rahman	O... Saya
67206	U2	Get On Your Boots
67207	Rihanna	Rehab
67252	Kanye West	Love Lockdown
67254	Akon	Right Now (Na Na Na)
67258	David Cook	Light On
67278	Beyonce	If I Were A Boy
67282	Adele	Chasing Pavements
67288	50 Cent	I Get It In
67293	Coldplay With Jay-Z	Lost!
67297	Young Jeezy Featuring Nas	My President
67298	Lily Allen	F*ck You
67305	Spectacular! Cast	Break My Heart
67307	T-Pain Featuring Ludacris	Chopped 'N' Skrewed
67309	Usher	Trading Places
67380	The Killers	Human
67405	Demi Lovato	La La Land
67408	Musiq Soulchild Featuring Mary J. Blige	IfULeave
67410	Plies Featuring Chris J	Put It On Ya
67459	Leona Lewis	Better In Time
67480	The Fray	Absolute
67489	The Pussycat Dolls	Top Of The World
67495	The Offspring	You're Gonna Go Far, Kid
67502	Paramore	Decode
67505	Bruce Springsteen	Working On A Dream
67508	Keyshia Cole Featuring 2Pac	Playa Cardz Right
67558	Saving Abel	Addicted
67586	Pitbull Featuring Lil Jon	Krazy
67591	Pat Green	Let Me
67597	Selena Gomez	Tell Me Something I Don't Know
67598	Sugarland	Already Gone
67599	Brad Paisley Duet With Keith Urban	Start A Band
67603	Lifehouse	Broken
67605	Apocalyptica Featuring Adam Gontier	I Don't Care
67607	Jamey Johnson	In Color
67609	Christina Aguilera	Keeps Gettin' Better
67676	Fall Out Boy	I Don't Care
67677	Beyonce	At Last
67685	Montgomery Gentry	Roll With Me
67694	will.i.am	It's A New Day
67705	Rascal Flatts	Here
67708	Theory Of A Deadman	Bad Girlfriend
67710	Jay-Z & T.I. Featuring Kanye West & Lil Wayne	Swagga Like Us
67749	David Archuleta	Crush
67750	Lil Wayne Featuring Bobby Valentino & Kidd Kidd	Mrs. Officer
67756	O.A.R.	Shattered (Turn The Car Around)
67796	Jazmine Sullivan	Bust Your Windows
67797	Metro Station	Seventeen Forever
67800	Miranda Cosgrove	About You Now
67804	Lady Antebellum	Lookin' For A Good Time
67805	Hinder	Without You
67810	The Rock Heroes	All Summer Long
67850	T-Pain Featuring Lil Wayne	Can't Believe It
67860	Ne-Yo	Closer
67885	The Red Jumpsuit Apparatus	Pen & Paper (Something Typical)
67888	Matt Nathanson	Come On Get Higher
67902	Brandy	Right Here (Departed)
67906	Busta Rhymes Featuring Ron Browz	Arab Money
67907	Avant	When It Hurts
67908	Common Featuring Pharrell	Universal Mind Control
67910	DJ Khaled Featuring Kanye West & T-Pain	Go Hard
67952	Secondhand Serenade	Fall For You
67956	Gavin Rossdale	Love Remains The Same
67976	Jonas Brothers	Lovebug
68001	Miley Cyrus	Fly On The Wall
68004	Kenny Chesney With The Wailers	Everybody Wants To Go To Heaven
68008	Shontelle	T-Shirt
68082	The Lonely Island	J**z In My Pants
68102	Kanye West Featuring Lil Wayne	See You In My Nightmares
68182	Carrie Underwood	Just A Dream
68184	The Game Featuring Lil Wayne	My Life
68191	Leona Lewis	Run
68192	Tim McGraw	Let It Go
68195	Daughtry	What About Now
68208	Randy Houser	Anything Goes
68257	Jennifer Hudson	Spotlight
68279	Savage Featuring Soulja Boy Tell'em	Swing
68304	50 Cent	Get Up
68307	Craig Morgan	Love Remembers
68310	Luis Fonsi	No Me Doy Por Vencido
68355	Chris Brown	Forever
68380	Britney Spears	Shattered Glass
68402	Slim Featuring Yung Joc	So Fly
68455	M.I.A.	Paper Planes
68458	Lil Wayne Featuring T-Pain	Got Money
68475	Ludacris Co-Starring Lil Wayne	Last Of A Dying Breed
68491	Jazmine Sullivan	Need U Bad
68492	Guns N' Roses	Chinese Democracy
68502	Ludacris Co-Starring Chris Brown & Sean Garrett	What Them Girls Like
68504	Linkin Park	Leave Out All The Rest
68505	Nickelback	I'd Come For You
68506	Jimmy Wayne	Do You Believe Me Now
68562	Darius Rucker	Don't Think I Don't Think About It
68590	Brad Paisley	Waitin' On A Woman
68592	Jack White & Alicia Keys	Another Way to Die
68595	Toby Keith	She Never Cried In Front Of Me
68598	Bucky Covington	I'll Walk
68600	Ace Hood Featuring Trey Songz	Ride
68606	Pleasure P	Did You Wrong
68656	Jordin Sparks	One Step At A Time
68675	Kid Rock	All Summer Long
68682	Taylor Swift	The Way I Loved You
68697	Taylor Swift Featuring Colbie Caillat	Breathe
68704	Taylor Swift	Hey Stephen
68707	Akon Featuring Sweet Rush	Troublemaker
68756	Flo Rida Featuring will.i.am	In The Ayer
68757	Leona Lewis	Bleeding Love
68758	Estelle Featuring Kanye West	American Boy
68760	Kardinal Offishall Featuring Akon	Dangerous
68777	The Killers	Spaceman
68785	Rehab	Bartender Song
68806	Buckcherry	Too Drunk...
68807	Natasha Bedingfield	Angel
68895	High School Musical 3 Cast	Now Or Never
68899	David Archuleta	Angels
68901	Jesse McCartney	It's Over
68903	Luke Bryan	Country Man
68905	Metallica	The Day That Never Comes
68906	Nickelback	Something In Your Mouth
68907	Mike Jones Featuring Trey Songz & Twista	Cuddy Buddy
68908	Zac Efron & Vanessa Hudgens	Can I Have This Dance
68960	Metro Station	Shake It
69000	Nelly Featuring Ashanti & Akon	Body On Me
69001	Enrique Iglesias	Lloro Por Ti
69004	Alicia Keys	Superwoman
69008	Chuck Wicks	All I Ever Wanted
69063	Young Jeezy Featuring Kanye West	Put On
69092	Heidi Newfield	Johnny & June
69098	September	Cry For You
69100	Ray LaMontagne	You Are The Best Thing
69101	Ingrid Michaelson	Be OK
69104	Fall Out Boy	What A Catch, Donnie
69108	George Strait	Troubadour
69109	Keith Anderson	I Still Miss You
69110	Robin Thicke	Magic
69155	Rihanna	Take A Bow
69156	Katy Perry	I Kissed A Girl
69160	Natasha Bedingfield	Pocketful Of Sunshine
69166	The Pussycat Dolls	When I Grow Up
69184	Fall Out Boy	Headfirst Slide Into Cooperstown On A Bad Bet
69186	Yung Berg Featuring Casha	The Business
69199	Plies Featuring Jamie Foxx & The-Dream	Please Excuse My Hands
69203	Oasis	The Shock Of The Lightning
69204	Keith Urban	You Look Good In My Shirt
69208	DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie	Out Here Grindin
69209	Jonas Brothers	Burnin' Up
69254	Jesse McCartney	Leavin'
69263	David Cook	The Time Of My Life
69288	Ciara Featuring T-Pain	Go Girl
69293	Sugarland	All I Want To Do
69300	Taylor Swift	Should've Said No
69302	Keri Hilson	Energy
69307	LL Cool J Featuring The-Dream	Baby
69351	Lil Wayne	A Milli
69358	David Banner Featuring Chris Brown	Get Like Me
69367	T.I.	Ready For Whatever
69375	Three 6 Mafia Featuring Project Pat, Young D & Superpower	Lolli Lolli (Pop That Body)
69395	WE the Kings	Check Yes Juliet (Run Baby Run)
69399	The Ting Tings	Shut Up And Let Me Go
69403	Lil Wayne Featuring Jay-Z	Mr. Carter
69404	The Lost Trailers	Holler Back
69406	Rick Ross Featuring Nelly & Avery Storm	Here I Am
69407	Paramore	That's What You Get
69408	Gym Class Heroes Featuring The-Dream	Cookie Jar
69410	Demi Lovato Featuring Jonas Brothers	On The Line
69457	Lil Wayne Featuring Static Major	Lollipop
69480	Artists Stand Up To Cancer	Just Stand Up!
69500	Boys Like Girls	Thunder
69504	Alan Jackson	Good Time
69507	Joshua Radin	I'd Rather Be With You
69508	Demi Lovato	Get Back
69509	Maroon 5 Featuring Rihanna	If I Never See Your Face Again
69582	Keyshia Cole	Heaven Sent
69598	Hit Masters	All Summer Long
69601	Shwayze	Corona And Lime
69604	Miley Cyrus	7 Things
69609	John Mayer	Free Fallin'
69653	3 Doors Down	It's Not My Time
69659	The-Dream	I Luv Your Girl
69660	Metallica	Cyanide
69694	T.I.	What Up, What's Haapnin'
69702	T.I. Featuring Swizz Beatz	Swing Ya Rag
69703	Studio All-Stars	American Boy
69705	Duffy	Mercy
69709	Marvin Sapp	Never Would Have Made It
69760	Jordin Sparks Duet With Chris Brown	No Air
69777	Metallica	My Apocalypse
69800	Chris Brown	Take You Down
69801	Mariah Carey	I'll Be Lovin' U Long Time
69804	Miranda Lambert	Gunpowder And Lead
69806	Staind	Believe
69810	Taylor Swift	Change
69851	Chris Brown	Dreamer
69855	Plies Featuring Ne-Yo	Bust It Baby Part 2
69864	Flobots	Handlebars
69898	Blake Shelton	Home
69901	Brooks & Dunn	Put A Girl In It
69905	Lloyd Featuring Lil Wayne	Girls Around The World
69909	Bow Wow Featuring Soulja Boy Tell'em	Marco Polo
69910	Alicia Keys	Teenage Love Affair
69959	Colby O'Donis Featuring Akon	What You Got
69998	Jonas Brothers	BB Good
69999	Hot Stylz Featuring Yung Joc	Lookin Boy
70000	Carrie Underwood	Last Name
70002	Goo Goo Dolls	Real
70006	Nelly	Warrior
70008	Colbie Caillat	Something Special
70009	V.I.C.	Get Silly
70010	Miley Cyrus	Breakout
70021	Jonas Brothers	A Little Bit Longer
70055	Danity Kane	Damaged
70057	Sara Bareilles	Love Song
70060	Gavin DeGraw	In Love With A Girl
70089	Melissa Lawson	What If It All Goes Right
70096	New Kids On The Block	Summertime
70104	Jessica Simpson	Come On Over
70105	Weezer	Pork And Beans
70110	Gary Allan	Learning How To Bend
70157	Colbie Caillat	Realize
70158	Usher Featuring Young Jeezy	Love In This Club
70161	Shwayze Featuring Cisco Adler	Buzzin'
70179	Madonna Featuring Justin Timberlake & Timbaland	4 Minutes
70203	Demi Lovato & Joe Jonas	This Is Me
70204	Flex	Te Quiero
